id,Season,Match,Venue,Winner,Wonby,PlayerOfTheMatch,Team1Players,Team2Players,Team1,Team1Run,Team2,Team2run
598030,2013,34,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Wickets,MS Dhoni,"MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma","Q de Kock,S Dhawan,GH Vihari,CL White,A Mishra,X Thalaivan Sargunam,DJG Sammy,A Ashish Reddy,KV Sharma,DW Steyn,I Sharma",Sunrisers Hyderabad,159,Chennai Super Kings,160
598029,2013,33,Eden Gardens,Mumbai Indians,Wickets,DR Smith,"YK Pathan,G Gambhir,JH Kallis,MK Tiwary,EJG Morgan,DB Das,R Bhatia,Iqbal Abdulla,SMSM Senanayake,SP Narine,L Balaji","DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,YS Chahal,PP Ojha,SL Malinga",Kolkata Knight Riders,159,Mumbai Indians,162
598059,2013,32,Feroz Shah Kotla,Punjab Kings,Wickets,Harmeet Singh,"DPMD Jayawardene,V Sehwag,RE van der Merwe,DA Warner,MC Juneja,KM Jadhav,J Botha,IK Pathan,AB Agarkar,A Nehra,UT Yadav","AC Gilchrist,Mandeep Singh,LA Pomersbach,DA Miller,M Vohra,DJ Hussey,PP Chawla,P Kumar,Harmeet Singh,BA Bhatt,P Awana",Delhi Daredevils,120,Kings XI Punjab,121
598027,2013,31,M Chinnaswamy Stadium,Royal Challengers Bangalore,Runs,CH Gayle,"CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,R Rampaul,KB Arun Karthik,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat","RV Uthappa,AJ Finch,Yuvraj Singh,LJ Wright,SPD Smith,MR Marsh,M Manhas,B Kumar,AG Murtaza,IC Pandey,AB Dinda",Royal Challengers Bangalore,263,Pune Warriors,133
598026,2013,30,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Wickets,MEK Hussey,"M Vijay,MEK Hussey,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma","SR Watson,AM Rahane,DH Yagnik,R Dravid,STR Binny,BJ Hodge,JP Faulkner,KK Cooper,R Shukla,A Chandila,SK Trivedi",Rajasthan Royals,185,Chennai Super Kings,186
598025,2013,29,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Wickets,DA Miller,"AC Gilchrist,Mandeep Singh,Azhar Mahmood,M Vohra,DA Miller,DJ Hussey,Gurkeerat Singh,PP Chawla,MS Gony,P Kumar,P Awana","RV Uthappa,AJ Finch,Yuvraj Singh,SPD Smith,LJ Wright,AM Nayar,M Manhas,B Kumar,R Sharma,AB Dinda,BAW Mendis",Pune Warriors,185,Kings XI Punjab,186
598024,2013,28,Feroz Shah Kotla,Delhi Capitals,Wickets,V Sehwag,"DPMD Jayawardene,V Sehwag,DA Warner,Y Venugopal Rao,KM Jadhav,RE van der Merwe,IK Pathan,AD Russell,AB Agarkar,S Nadeem,UT Yadav","DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,RT Ponting,Harbhajan Singh,JJ Bumrah,MM Patel,SL Malinga",Mumbai Indians,161,Delhi Daredevils,165
598023,2013,27,M Chinnaswamy Stadium,Royal Challengers Bangalore,Wickets,R Vinay Kumar,"TM Dilshan,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,KB Arun Karthik,R Rampaul,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat","SR Watson,AM Rahane,R Dravid,STR Binny,BJ Hodge,DH Yagnik,JP Faulkner,A Chandila,S Sreesanth,SW Tait,SK Trivedi",Rajasthan Royals,117,Royal Challengers Bangalore,123
598022,2013,26,Eden Gardens,Chennai Super Kings,Wickets,RA Jadeja,"G Gambhir,YK Pathan,JH Kallis,EJG Morgan,MK Tiwary,DB Das,R Bhatia,LR Shukla,SMSM Senanayake,SP Narine,L Balaji","MEK Hussey,R Ashwin,M Vijay,SK Raina,MS Dhoni,S Badrinath,RA Jadeja,DJ Bravo,JA Morkel,CH Morris,MM Sharma",Kolkata Knight Riders,119,Chennai Super Kings,124
598021,2013,25,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Wickets,GH Vihari,"Q de Kock,PA Reddy,GH Vihari,CL White,BB Samantray,NLTC Perera,A Ashish Reddy,KV Sharma,A Mishra,DW Steyn,I Sharma","Mandeep Singh,AC Gilchrist,PC Valthaty,DJ Hussey,PP Chawla,Gurkeerat Singh,Azhar Mahmood,MS Gony,M Vohra,AD Mascarenhas,P Kumar",Kings XI Punjab,123,Sunrisers Hyderabad,127
598020,2013,24,Feroz Shah Kotla,Chennai Super Kings,Runs,MEK Hussey,"DA Warner,V Sehwag,MC Juneja,DPMD Jayawardene,BMAJ Mendis,KM Jadhav,IK Pathan,AB Agarkar,M Morkel,S Nadeem,UT Yadav","MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,S Badrinath,RA Jadeja,JA Morkel,CH Morris,R Ashwin,MM Sharma",Chennai Super Kings,169,Delhi Daredevils,83
598019,2013,23,Sawai Mansingh Stadium,Rajasthan Royals,Runs,AM Rahane,"SR Watson,AM Rahane,DH Yagnik,STR Binny,BJ Hodge,R Dravid,JP Faulkner,KK Cooper,AA Chavan,A Chandila,SK Trivedi","SR Tendulkar,RT Ponting,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,R Dhawan,Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha",Rajasthan Royals,179,Mumbai Indians,92
598018,2013,22,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Runs,A Mishra,"RV Uthappa,AJ Finch,TL Suman,SPD Smith,AD Mathews,MR Marsh,AM Nayar,MK Pandey,B Kumar,R Sharma,AB Dinda","PA Patel,Q de Kock,GH Vihari,CL White,BB Samantray,KV Sharma,NLTC Perera,A Mishra,A Ashish Reddy,DW Steyn,I Sharma",Sunrisers Hyderabad,119,Pune Warriors,108
598016,2013,20,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Runs,MS Gony,"AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,DA Miller,Azhar Mahmood,Gurkeerat Singh,MS Gony,PP Chawla,P Kumar,P Awana","MS Bisla,G Gambhir,JH Kallis,EJG Morgan,MK Tiwary,YK Pathan,DB Das,R Bhatia,SMSM Senanayake,SP Narine,L Balaji",Kings XI Punjab,157,Kolkata Knight Riders,153
598017,2013,21,M Chinnaswamy Stadium,Royal Challengers Bangalore,SuperOver,V Kohli,"CH Gayle,KL Rahul,V Kohli,AB de Villiers,AB McDonald,KB Arun Karthik,J Syed Mohammad,R Vinay Kumar,R Rampaul,RP Singh,JD Unadkat","DA Warner,V Sehwag,MC Juneja,DPMD Jayawardene,BJ Rohrer,KM Jadhav,IK Pathan,M Morkel,S Nadeem,A Nehra,UT Yadav",Delhi Daredevils,152,Royal Challengers Bangalore,152
598014,2013,18,Sawai Mansingh Stadium,Rajasthan Royals,Wickets,JP Faulkner,"SR Watson,AM Rahane,R Dravid,STR Binny,BJ Hodge,SV Samson,JP Faulkner,KK Cooper,SK Trivedi,A Chandila,S Sreesanth","Mandeep Singh,AC Gilchrist,M Vohra,DJ Hussey,Gurkeerat Singh,R Sathish,Azhar Mahmood,PP Chawla,RJ Harris,P Kumar,P Awana",Kings XI Punjab,124,Rajasthan Royals,126
598013,2013,17,Eden Gardens,Kolkata Knight Riders,Runs,G Gambhir,"MS Bisla,G Gambhir,JH Kallis,EJG Morgan,YK Pathan,MK Tiwary,R Bhatia,LR Shukla,SMSM Senanayake,SP Narine,L Balaji","PA Patel,CL White,KC Sangakkara,DB Ravi Teja,NLTC Perera,A Ashish Reddy,KV Sharma,GH Vihari,A Mishra,DW Steyn,I Sharma",Kolkata Knight Riders,180,Sunrisers Hyderabad,132
598012,2013,16,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Wickets,RA Jadeja,"MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,RA Jadeja,DJ Bravo,CH Morris,R Ashwin,DP Nannes,MM Sharma","CH Gayle,MA Agarwal,V Kohli,AB de Villiers,DT Christian,R Rampaul,KB Arun Karthik,J Syed Mohammad,R Vinay Kumar,M Kartik,RP Singh",Royal Challengers Bangalore,165,Chennai Super Kings,166
